source_id,ra_deg,dec_deg,gmag
3065450134910700672,129.36094827045,-04.77399938685,11.529276
3065452681827061888,129.15430858678,-04.74422515724,11.353866
3065453369021831424,129.12119205154,-04.75191173639,11.256112
3065454605972401920,129.26675876009,-04.69948471575,10.413646
3065463539504257792,128.87216028793,-04.69552573372,10.520247
3065464639016837760,128.82944163890,-04.65520262479,9.962544
3065469926119997568,129.00800209995,-04.62522086678,11.423165
3065470372796195840,128.88442772254,-04.64801129200,10.098449
3065472129438815616,129.09993492696,-04.55783522527,11.792048
3065472812337594752,128.96587937850,-04.56176047336,9.918980
3065508752625293568,128.31633017905,-04.48626359136,10.498963
3065509375395261440,128.72752583547,-04.72207531799,11.110846
3065509650273169280,128.70898428305,-04.70072204966,11.734878
3065510131309516032,128.65364316959,-04.70005754481,11.647096
3065512021095098240,128.78668356545,-04.60905685735,11.315539
3065512089814590464,128.70683008558,-04.65739274647,11.208809
3065512502131447168,128.70996940978,-04.62008187727,11.610046
3065515968170354816,128.73163359750,-04.56942816670,11.485502
3065517961035181056,128.82991547998,-04.58174798393,11.915390
3065518755603816448,128.78726636278,-04.57419413647,9.495347
3065522256002474496,128.74237115381,-04.52294874610,10.385875
3065524150082727936,128.76733685770,-04.41721006542,11.230804
3065525146515123840,128.89436282361,-04.39493869606,11.284914
3065525833709897088,128.84670403399,-04.38968081587,9.783181
3065530953310871040,128.43892436339,-04.51263418853,10.011407
3065531365628716032,128.46572693965,-04.50096110837,7.941693
3065532018462762496,128.38568411063,-04.48934309771,11.318716
3065533564650976640,128.55218618744,-04.42649529542,9.910759
3065535763674303488,128.72499018330,-04.42827778734,10.849607
3065536137336768768,128.71352925150,-04.39344539827,11.909987
3065539611963965952,128.60152618133,-04.38756623418,10.766008
3065718557482444032,128.00017997132,-04.25756366511,11.561450
3065719897512204416,128.32296932959,-04.47020714542,11.309933
3065721954801264128,128.31653879259,-04.35768001665,10.916578
3065723196047070592,128.36553050963,-04.36612669855,10.971855
3065724604796560640,128.21554379346,-04.36717048256,8.829250
3065728934123551744,128.52275838084,-04.28540688599,11.399816
3065730549031051008,128.50552911227,-04.22162630313,11.137880
3065730858268695808,128.49052840925,-04.19236823279,11.164610
3065731030067376384,128.60293065212,-04.22911641022,10.718310
3065731300650091392,128.58723887006,-04.21213423531,11.122056
3065733362234395008,128.38641639150,-04.22626156517,9.574641
3065737146100804608,128.50950914364,-04.06370618054,11.302976
3065741715945486976,128.21076215137,-04.13206328095,11.098195
3065741853385000832,128.23173773740,-04.12367232737,11.511811
3065751504176239232,128.25442301233,-04.03886921727,11.997198
3065751813413885440,128.19942277033,-04.05857097901,8.742857
3065754703927363968,128.34922712160,-03.92292754241,11.692270
3065767039073091200,127.92760042120,-04.17121179388,11.520309
3065767451389975296,127.80864247054,-04.19106677916,11.928141
3065768580965515520,127.69187258787,-04.21452258131,11.944774
3065771368400140032,127.79910488659,-04.10643477788,10.364440
3065772635414639744,127.79286628418,-04.04838358464,10.140671
3065786001352865536,127.55008603004,-04.07600429593,11.928255
3065786825986584832,127.58119971729,-04.02323289018,11.520082
3065790266256413312,127.96444039199,-04.16975455125,11.898551
3065790639918246400,127.94794931843,-04.13360404508,11.290545
3065794561223466624,128.06164644688,-03.97812373700,11.494317
3065796966405176960,127.96329595380,-04.00304898026,11.731464
3065797481801239936,128.00516848231,-03.97541924756,11.770896
3065801776768477696,128.23940625446,-03.89259274716,11.920204
3065803185517750400,128.21735007117,-03.85321945671,8.491832
3065807441830294144,128.16440473597,-03.78108721869,9.690986
3065807686643899520,128.11906317807,-03.75759449375,10.326360
3065812114754019328,127.87540228834,-03.83890448450,11.598533
3065814008835442816,127.70139212328,-03.85064847447,9.425243
3065814146275479680,127.72579187841,-03.83443521462,11.538249
3065814764749667200,127.78663476766,-03.84168384229,10.304736
3065816001700245120,127.77038956426,-03.78845147550,11.780330
3065818574385258368,127.95020033173,-03.78453087918,9.841651
3065818578681803520,127.95017403498,-03.78472477466,10.503384
3065818681759794816,127.94292747668,-03.75786641140,11.784849
3065820021789574912,128.00206436121,-03.75809974471,11.618663
3065822182157358848,127.84428626409,-03.74973583977,11.935849
3065824248037375488,128.02843356684,-03.64350181288,11.980570
3066542847606593664,127.36100015466,-03.88879027486,10.318697
3066543088124866176,127.40205348095,-03.88049703137,8.631327
3066544252059301632,127.33095209713,-03.84912958938,10.622758
3066544256354836608,127.33104657437,-03.84925741960,11.084947
3066557347416183680,127.28964768593,-03.77155219030,10.563394
3066560641654498176,127.25236434911,-03.72685090923,11.842385
3066564146347806336,127.24085666600,-03.60688545910,11.830053
3066569923080372096,127.49489492849,-03.74126237961,10.093129
3066573182959734912,127.77850983737,-03.70837392401,11.478785
3066576554509740288,127.85968999398,-03.59145738388,10.856221
3066578444295391232,127.72346010639,-03.57067063561,11.656467
3066578616095117312,127.65983440622,-03.61413577318,10.197173
3066578650452620800,127.68147599687,-03.60303108598,10.787922
3066580437160162304,127.87141739504,-03.50067998043,11.923363
3066581429296935808,127.78707125375,-03.48977627432,11.541954
3066587171669032576,127.39049581714,-03.58067584772,11.925477
3066587236092708480,127.38148113072,-03.57417363100,11.896455
3066594485997514368,127.64861463275,-03.41558792441,11.966575
3066598132425456640,127.64119063206,-03.36679145902,10.146000
3066598677885594368,127.54888324242,-03.37570986050,9.771464
3066598746605070464,127.54369254537,-03.35804176762,10.053515
3066612593578902144,127.19021267017,-03.53439241484,11.291109
3066616583605133824,127.09599802143,-03.49488618878,10.111963
3066628300275666176,127.01628864876,-03.46782245060,11.151312
3066637092073078656,127.37101758860,-03.47442422006,11.689478
3066638500822350592,127.30624690138,-03.40827110536,11.307829
3066639948227187328,127.20652389228,-03.43285626494,8.933434
3066640188745379840,127.12858657254,-03.46458947569,11.733793
3066643796517820288,127.43359933536,-03.39866393404,10.933481
3066647193836155904,127.49003328157,-03.27061867269,9.583624
3066650599745804800,127.44251487560,-03.21829345504,8.927717
3066651076486589696,127.49816403169,-03.19226257530,11.936512
3066652214654628480,127.42488076535,-03.15138894025,8.572404
3066656127367407744,127.17807209908,-03.28250996041,10.377762
3066659288463336704,127.09574239033,-03.23662565211,11.269937
3066659979953048320,127.04548148367,-03.24373717823,9.578075
3066659979955519488,127.04530412424,-03.24340361470,10.072436
3066661010747647360,127.07838272990,-03.14518795493,10.358796
3066665786750188928,127.16297858803,-03.16944140023,10.171128
